date,Windham,Windsor,Addison,Caledonia,Essex,Unknown,Grand Isle,Orange,Rutland,Bennington,Chittenden,Lamoille,Orleans,Washington,Franklin
06/11/2020,83,55,66,16,3,5,8,9,57,67,559,29,13,39,101
06/12/2020,84,55,66,16,3,5,8,9,58,67,564,29,13,40,102
06/13/2020,85,55,66,16,3,5,8,9,58,67,568,29,13,41,102
06/14/2020,85,55,66,16,3,5,8,9,59,67,569,29,13,41,102
06/15/2020,85,55,66,16,3,5,8,9,59,67,572,29,13,41,102
06/16/2020,85,55,66,16,3,5,8,9,59,67,572,29,13,41,102
06/17/2020,85,55,66,16,3,5,8,9,59,67,572,29,13,41,102
06/18/2020,85,55,67,16,3,5,8,9,60,68,574,29,13,41,102
06/19/2020,85,55,67,16,3,5,8,9,61,69,579,30,14,41,102
06/20/2020,87,55,67,17,3,5,8,9,61,69,579,30,14,41,102
06/21/2020,91,55,67,18,3,5,8,9,61,69,586,30,14,41,102
06/22/2020,91,55,67,18,3,5,8,9,61,69,590,30,14,41,102
06/23/2020,91,55,68,18,3,5,8,9,61,69,590,30,14,41,102
06/24/2020,92,55,68,18,3,5,9,9,71,69,598,30,14,41,102
06/25/2020,93,56,68,19,3,5,10,9,71,70,599,30,14,41,103
06/26/2020,93,58,68,19,3,5,10,9,73,71,601,30,14,41,103
06/27/2020,94,58,68,19,3,5,10,9,73,71,601,30,14,41,104
06/28/2020,94,58,68,19,3,6,10,9,73,71,602,30,14,41,104
06/29/2020,94,58,68,19,3,6,10,9,73,72,607,30,14,41,104
06/30/2020,94,58,68,19,3,6,10,9,73,72,607,30,14,41,104
07/01/2020,94,58,68,19,3,6,10,9,73,72,608,30,14,41,105
07/02/2020,97,59,68,20,3,5,10,9,73,72,617,31,14,41,108
07/03/2020,97,59,68,20,3,5,10,9,74,73,622,31,14,41,110
07/04/2020,97,59,68,20,3,5,10,9,74,73,623,32,14,41,110
07/05/2020,97,59,68,21,3,5,10,10,74,73,629,34,14,42,110
07/06/2020,97,59,68,21,4,5,10,10,74,73,630,34,14,42,110
07/07/2020,98,59,68,21,4,5,10,10,75,73,631,34,14,42,110
07/08/2020,97,61,68,21,4,5,10,10,75,73,632,34,14,42,110
07/09/2020,98,61,68,21,5,5,10,10,75,74,643,36,14,42,110
07/10/2020,99,62,68,21,5,5,10,10,75,74,645,37,14,42,110
