date,Bent,Boulder,Conejos,Crowley,Delta,El Paso,Elbert,Gunnison,Hinsdale,Huerfano,Kit Carson,Larimer,Lincoln,Logan,Mineral,Moffat,Montrose,Otero,Pueblo,San Miguel,Adams,Broomfield,Custer,Douglas,Routt,Yuma,Alamosa,Archuleta,Chaffee,Eagle,Garfield,Grand,Jefferson,Las Animas,Park,Prowers,Rio Grande,Saguache,Teller,Unknown,Weld,Cheyenne,Costilla,Denver,Fremont,Gilpin,Jackson,La Plata,Lake,Mesa,Morgan,Ouray,Phillips,Pitkin,Rio Blanco,San Juan,Summit,Washington,Clear Creek,Montezuma,Baca,Arapahoe
04/28/2020,0,543,0,2,34,884,27,161,3,2,20,334,3,266,2,6,94,8,136,19,1430,145,2,453,55,7,10,8,66,540,89,5,1298,3,11,1,7,3,28,88,1618,0,3,2791,22,1,0,59,17,42,344,5,6,61,1,0,119,7,13,15,10,2312
04/29/2020,0,565,0,2,43,907,28,161,3,2,20,348,3,270,2,6,96,8,136,19,1490,147,2,468,54,8,10,8,66,546,91,5,1314,3,11,1,7,4,28,67,1704,0,3,2890,22,1,0,62,17,44,358,5,6,62,1,0,121,7,13,16,10,2389
04/30/2020,0,580,0,2,44,934,29,166,3,2,21,363,3,282,2,6,96,10,139,19,1585,150,2,478,56,8,10,8,66,550,93,5,1338,3,11,1,7,3,28,81,1776,0,3,3001,22,1,0,62,18,46,372,5,5,65,1,0,128,7,13,16,10,2472
05/01/2020,0,618,0,3,46,964,30,164,3,2,21,377,3,282,2,6,98,10,146,19,1665,157,2,502,55,9,10,8,67,544,93,5,1373,3,13,1,7,3,28,94,1802,0,3,3092,22,1,0,63,19,47,384,5,5,51,1,0,130,7,13,16,10,2557
05/02/2020,0,646,0,3,48,988,31,165,3,2,21,384,3,288,2,6,102,10,150,19,1730,163,2,518,56,8,11,8,67,546,95,5,1384,3,14,1,7,3,28,119,1836,0,3,3222,22,1,0,63,20,47,395,5,5,51,1,0,136,8,13,16,10,2625
05/03/2020,0,661,0,4,50,994,31,165,3,2,21,395,3,291,2,6,105,10,158,19,1780,165,2,526,56,9,12,8,67,551,97,5,1405,3,14,1,7,3,28,134,1872,0,3,3345,22,1,0,63,20,47,399,5,5,51,1,0,144,8,13,17,12,2706
05/04/2020,0,679,0,4,51,1005,32,168,3,2,21,393,3,290,2,6,106,10,157,20,1815,167,2,531,56,9,14,8,67,552,95,5,1431,3,14,1,7,3,28,130,1897,0,3,3428,22,1,0,63,21,46,413,5,5,51,1,0,144,8,13,18,12,2758
05/05/2020,0,685,0,4,52,1028,36,168,3,2,22,409,3,292,2,6,107,10,158,20,1883,178,2,543,58,9,14,8,68,547,99,5,1466,4,14,3,7,3,29,81,1955,0,3,3546,22,1,0,63,21,46,422,5,5,52,1,0,151,9,13,18,12,2883
05/06/2020,0,700,0,4,52,1055,37,172,3,2,24,415,3,295,2,6,110,10,161,20,1952,180,2,556,58,9,22,8,68,552,99,5,1507,4,15,8,7,3,30,54,1988,0,3,3674,22,1,0,63,21,48,439,5,6,53,1,1,155,9,13,19,12,2977
05/07/2020,0,720,1,4,53,1079,37,173,3,2,24,423,3,318,2,6,114,10,163,20,2046,186,2,573,58,10,25,8,68,554,100,5,1542,4,15,8,7,3,30,46,2042,2,3,3799,23,1,0,63,23,48,448,5,7,54,1,1,155,9,13,21,12,3089
05/08/2020,0,743,1,25,54,1097,39,173,3,3,24,437,3,350,2,6,121,10,170,20,2117,191,2,584,58,10,25,8,68,555,102,5,1574,4,15,8,7,4,30,32,2087,2,3,3892,23,1,0,64,23,50,463,6,7,54,1,1,156,9,14,23,12,3148
05/09/2020,0,757,1,39,54,1109,39,173,3,3,26,444,3,389,2,6,122,10,176,20,2205,195,2,591,58,10,25,8,68,558,103,5,1627,4,15,8,7,5,30,71,2120,4,3,4001,23,3,0,65,23,51,485,6,8,54,1,1,162,9,14,23,12,3228
05/10/2020,1,767,1,39,55,1124,39,173,3,3,26,448,3,401,2,6,124,10,182,20,2242,198,2,601,58,11,25,8,68,558,104,5,1649,4,15,9,7,5,31,114,2139,4,3,4070,23,3,0,65,23,51,508,6,8,54,1,1,165,9,14,23,12,3272
05/11/2020,1,777,1,39,55,1137,39,173,3,3,25,452,3,432,2,6,127,10,185,20,2278,200,2,604,58,11,32,8,68,559,103,5,1658,4,16,9,8,5,31,67,2159,5,3,4118,23,1,0,65,23,51,517,6,9,54,1,1,169,9,14,24,12,3313
05/12/2020,1,788,1,39,55,1157,40,174,3,3,25,455,3,473,2,6,127,10,188,22,2322,201,2,607,59,11,33,8,68,561,111,5,1678,4,16,9,7,8,31,47,2190,5,3,4187,23,1,0,66,23,51,521,6,9,54,1,1,171,9,15,25,12,3370
05/13/2020,1,797,1,39,54,1175,41,180,3,3,25,456,3,480,2,6,128,11,188,22,2374,203,2,612,59,11,33,8,69,562,112,5,1716,4,16,9,7,8,31,52,2211,4,4,4254,23,1,0,66,23,51,527,6,9,54,1,1,174,9,15,25,12,3464
05/14/2020,1,805,1,39,54,1204,41,182,3,3,25,463,3,483,2,6,129,11,186,22,2448,204,2,621,59,11,37,8,69,564,112,5,1748,4,16,9,7,15,31,46,2232,5,4,4359,25,2,0,66,23,51,534,6,9,54,1,1,175,9,15,25,12,3526
05/15/2020,1,825,1,39,54,1251,42,182,3,3,26,472,3,483,2,6,131,11,195,22,2520,207,2,632,59,12,38,8,69,566,113,5,1775,4,16,10,7,16,31,36,2260,5,4,4452,25,3,0,66,24,50,542,7,10,56,1,1,178,9,15,26,12,3583
05/16/2020,1,835,1,39,55,1291,44,182,3,3,26,485,3,485,2,6,135,11,202,22,2575,209,2,637,59,12,39,8,69,570,113,5,1800,4,16,10,8,16,31,48,2281,5,4,4548,25,4,0,68,26,50,557,7,10,56,1,1,182,10,16,27,12,3652
05/17/2020,1,844,1,39,55,1314,45,183,3,3,26,489,3,487,2,6,136,11,204,22,2613,211,2,640,59,12,41,8,69,570,115,5,1831,4,16,10,8,16,31,54,2295,5,4,4656,25,4,0,68,26,50,561,7,10,56,1,1,183,10,16,27,12,3703
05/18/2020,1,857,1,39,55,1348,47,179,3,3,26,495,3,488,2,6,136,11,217,22,2640,213,2,649,60,11,42,8,69,570,114,5,1849,4,16,10,8,17,31,50,2305,5,4,4720,25,4,0,68,26,50,565,7,10,57,1,1,186,11,16,27,12,3767
05/19/2020,1,871,1,39,55,1357,47,179,3,3,26,508,3,488,2,6,136,11,219,22,2675,214,2,654,59,11,43,8,69,571,115,5,1882,4,20,11,9,18,31,37,2326,5,4,4790,25,4,0,72,26,50,574,7,10,57,1,1,192,11,16,29,12,3827
