date,Baxter,Benton,Columbia,Crittenden,Faulkner,Garland,Grant,Hempstead,Johnson,Lincoln,Little River,Lonoke,Marion,Nevada,Newton,Perry,Pulaski,Sevier,Van Buren,Carroll,Chicot,Clay,Cleveland,Cross,Dallas,Desha,Greene,Howard,Lawrence,Lee,Miller,Montgomery,Ouachita,Pike,Prairie,Saline,Sharp,St. Francis,Stone,Yell,Conway,Fulton,Hot Spring,Independence,Jackson,Madison,Mississippi,Poinsett,Polk,Sebastian,Union,Washington,White,Woodruff,Boone,Bradley,Calhoun,Clark,Crawford,Drew,Franklin,Jefferson,Lafayette,Logan,Monroe,Phillips,Pope,Randolph,Scott,Searcy,Unknown,Ashley,Craighead,Cleburne,Izard,Arkansas
06/13/2020,14,1362,27,517,147,161,24,34,84,987,34,70,2,74,3,16,1266,428,30,70,43,18,19,75,3,20,71,38,90,481,69,2,13,7,7,167,50,771,11,289,19,9,38,39,16,107,91,50,51,144,202,1710,56,3,9,34,0,45,51,25,6,628,11,18,7,36,245,28,2,7,321,40,352,75,19,7
06/14/2020,14,1406,28,522,154,162,24,36,88,995,34,71,2,80,3,16,1289,446,30,80,49,20,20,76,3,22,72,38,91,545,69,2,14,7,7,174,50,775,11,303,21,9,42,42,15,111,95,50,53,148,203,1804,58,4,9,34,0,45,56,26,6,630,11,19,7,39,256,28,3,7,340,41,358,75,20,8
06/15/2020,14,1480,28,537,172,165,24,39,92,995,34,73,2,83,3,16,1302,465,30,88,54,20,20,79,3,22,73,41,91,543,71,2,15,7,7,181,50,778,11,308,24,9,42,42,16,119,96,51,56,165,208,1925,59,5,10,35,0,48,61,26,6,633,11,20,7,49,281,28,5,7,344,45,363,75,20,8
06/16/2020,14,1514,29,545,180,165,24,40,93,995,34,75,2,83,3,16,1343,478,30,92,58,22,20,79,4,23,74,42,91,545,73,2,16,7,9,184,50,779,11,309,24,9,43,43,16,122,98,51,58,169,209,1977,61,5,10,35,0,48,65,26,9,633,11,20,7,52,285,29,5,7,396,47,365,75,20,8
06/17/2020,14,1612,28,554,195,168,24,40,99,995,34,78,2,86,3,16,1365,498,30,95,62,23,20,79,4,25,76,45,92,569,77,2,17,7,12,189,50,779,11,324,24,9,44,43,20,128,102,52,60,187,213,2080,65,5,10,35,0,50,69,27,9,634,12,20,7,53,291,29,5,7,391,48,369,75,20,14
06/18/2020,14,1657,29,562,205,170,24,41,107,995,34,80,2,87,3,17,1394,506,30,100,66,24,20,81,4,25,78,47,92,571,77,2,17,7,12,190,50,781,11,340,25,9,46,43,20,128,105,52,60,193,218,2141,69,5,10,35,0,50,75,29,9,637,12,21,7,64,301,29,6,7,435,51,372,76,20,16
06/19/2020,14,1841,31,573,227,172,24,43,121,1023,35,84,2,87,3,24,1445,550,30,102,67,31,22,82,4,26,87,54,93,570,78,2,17,7,12,195,50,783,11,361,26,9,46,44,20,137,107,52,62,219,220,2222,70,6,10,35,0,50,83,32,10,640,13,21,7,75,304,31,7,7,533,51,385,76,20,18
06/20/2020,14,1904,32,577,246,177,25,44,135,1036,35,86,2,87,3,25,1499,563,30,126,70,33,22,82,6,28,89,62,93,572,87,2,17,7,12,200,50,791,11,403,29,9,53,44,21,142,110,53,63,226,223,2321,73,5,11,37,0,50,91,34,10,644,13,24,7,79,322,34,8,7,560,52,388,77,20,19
06/21/2020,14,2003,38,588,269,177,26,44,146,1036,35,88,2,87,4,20,1514,588,30,129,81,40,25,82,6,29,93,68,93,574,91,2,17,7,13,209,50,791,11,416,34,9,53,46,21,146,114,53,64,244,224,2404,73,6,11,38,0,51,97,37,12,650,13,28,7,79,326,34,8,7,571,53,396,77,20,19
06/22/2020,15,2087,43,600,290,180,27,45,158,1036,35,89,2,94,4,21,1531,592,30,136,88,46,25,82,6,29,94,68,94,576,92,2,17,7,16,210,51,792,13,435,34,10,138,46,24,154,115,53,67,250,227,2531,76,6,13,38,0,53,98,39,13,657,13,32,7,87,333,39,8,7,584,56,401,77,20,19
06/23/2020,15,2128,44,604,305,183,28,46,166,1036,36,91,2,95,4,21,1556,606,30,136,93,48,25,83,6,29,97,70,96,621,94,2,17,7,16,211,51,793,13,448,36,10,226,46,24,162,121,53,67,258,232,2680,76,6,14,38,0,53,105,39,13,657,13,34,8,90,349,39,8,7,683,57,404,77,20,21
06/24/2020,15,2196,72,621,339,191,28,46,166,1036,37,96,2,95,4,22,1607,614,30,141,96,49,25,83,6,37,99,70,98,621,97,2,18,7,18,217,52,795,13,475,39,10,396,48,25,163,128,53,69,298,232,2767,80,6,16,38,0,54,112,41,13,661,14,36,8,91,363,39,8,7,731,58,415,78,20,22
06/25/2020,16,2262,72,660,350,205,30,46,175,1036,37,123,3,95,4,23,1655,617,30,149,108,49,25,84,6,40,102,73,98,626,98,4,18,8,19,225,53,801,13,479,39,9,396,49,26,168,128,55,69,324,237,2880,79,6,19,39,0,53,121,44,15,663,14,36,8,104,370,40,8,7,935,59,422,79,20,24
06/26/2020,18,2454,73,687,382,210,33,47,188,1036,38,119,4,101,5,26,1740,648,33,158,117,52,25,84,6,40,107,75,99,626,101,4,19,8,19,233,53,804,13,511,42,10,415,49,26,174,136,56,70,357,243,3140,80,6,22,40,0,53,131,49,16,676,15,44,10,109,392,44,9,7,699,68,430,82,20,24
